3 36258 65284 49630
4 55861 6531 47014 68070
4 55118 63732 46472 3834
4 3749 35283 26628 37787
4 79417 71629 26322 45081
4 98715 99319 36512 62769
4 94615 53619 13542 98946
4 30552 43751 41830 62162
4 79940 73214 85723 76689
4 16177 58957 26914 37117
4 81835 25337 10570 43141
4 23708 36453 45638 11731
4 21287 84870 74671 35090
4 63523 81713 36674 88704
4 32110 7803 35401 64361
4 17637 33432 83287 89457
4 46757 10987 66394 73040
4 60751 5284 66237 21014
4 56775 82659 96929 51373
3 56558 77429 86544
4 55330 72939 69305 19631
4 58502 81308 14258 20283
4 39525 65656 92481 86008
4 1615 77913 94028 89839
4 93682 53413 95059 20304
4 67092 84176 57966 11678
4 17841 97948 1199 26580
4 9994 75364 38485 33905
4 15087 49767 64041 69117
4 89246 724 81846 33113
4 39248 61877 7132 28009
4 86104 50029 19024 61615
4 92697 83894 98792 60644
4 87975 53976 47986 40089
4 59102 53651 81825 64563
4 5273 3224 22111 81162
4 45046 68397 88980 41396
4 67521 41352 3856 15960
4 92502 39022 48290 17480
4 88623 5110 14836 89335
4 34613 77809 1617 24028
4 87801 26748 44032 53126
4 63136 75766 58439 86695
4 68419 91519 18020 17937
4 18672 88014 48692 23290
4 72161 94204 75724 79635
4 21489 78203 25109 75028
4 65891 71500 66728 43806
4 44938 79607 9815 43363
4 86387 96279 73612 95603
4 47561 71867 28899 18716
4 7310 12209 21097 66485
4 58849 57578 62677 77963
4 5786 56711 43247 60477
4 52473 69112 45679 41775
4 3906 69212 30729 49120
4 63425 32086 25183 67886
4 96119 37502 91879 5210
4 92399 22087 39501 67216
4 15379 92657 65131 83078
3 36778 87655 48846
4 24639 64826 91764 40724
4 2120 79346 11733 33512
4 16526 80940 8423 26162
4 80479 67187 66062 36366
4 35936 57306 48183 87618
4 20687 99232 67355 76736
4 76015 94628 8245 83887
4 19487 67203 30463 21405
4 81177 20717 63410 36195
4 28461 46872 37112 5949
4 45544 35884 18886 84201
4 81255 64691 90557 61034
4 33415 29106 31859 63089
3 47624 84581 29943
4 29496 75341 56817 64535
4 40341 1983 64393 82504
4 25549 36514 68637 65016
4 31681 84298 19430 63212
4 37853 19048 20113 10930
4 75687 76276 84947 99907
4 58602 18151 49798 88417
4 31673 98770 26218 25144
4 25432 56796 19632 91561
3 75206 24812 87488
4 27108 70401 88203 35010
4 57486 72604 48865 10954
4 21102 87005 2971 38643
4 26616 65405 84750 62425
4 22096 63661 64578 33012
4 82107 73705 78132 22124
4 85317 71524 48744 66167
4 78598 74563 66012 51833
4 3200 39551 59382 82228
4 22885 49165 29164 7874
4 11519 15562 97549 95238
4 29889 8405 61041 7441
4 53306 5157 33978 29394
4 53021 51379 37505 21357
4 79387 59839 70533 86384
4 32646 17523 179 53540
4 67703 15174 97398 91776
4 79455 39904 30501 27044
4 50812 29512 76072 18354
4 30392 86594 92632 39468
4 46356 5030 34934 49774
4 51801 57899 57154 31302
4 72001 19097 61872 80943
4 93137 92450 12137 35183
4 92363 10878 95907 58645
4 51319 65891 88090 66995
4 44337 75088 9899 73010
4 1896 20244 85841 33403
4 7974 44583 73989 95732
4 49252 37571 98216 84782
4 90772 45002 3619 72426
4 9 69271 95990 90615
4 94571 59563 28094 5478
4 7493 72525 38136 58654
4 15898 68844 12211 34917
4 29939 99987 45310 18895
4 85494 39077 977 2627
4 59410 55696 36536 6664
4 72992 21217 16952 48096
3 25969 60690 55746
4 79475 94474 24608 87198
4 41320 80168 7656 49561
4 61791 43315 76120 70108
4 97906 52514 15406 369
4 69033 47375 26564 60200
4 543 99149 12223 99611
4 54420 3291 46750 43773
4 15499 41176 80972 27523
4 32962 6512 87148 5279
3 12730 37097 1572
4 13225 84066 25525 84490
4 11832 74801 92629 88934
4 73099 88868 71117 78115
4 59055 13186 42017 9882
4 40016 39624 51382 59436
4 61871 65953 13603 28952
4 37460 51770 64107 89375
4 30476 63391 41926 10011
4 82199 4447 14401 3940
4 51749 34779 47957 38455
4 4757 99156 89657 22591
4 82016 48834 41636 66655
4 75932 22260 15300 75724
4 56221 3628 56055 36812
4 4789 34648 81200 17990
3 19716 96543 46190
4 56721 87200 45391 60370
4 85684 33593 28805 48116
4 83261 46162 73601 21522
4 74942 97687 9751 28756
4 97343 26108 95253 52286
4 54453 6395 33181 78359
4 46803 35661 15885 81411
4 79294 96303 7275 54761
4 58954 65350 287 29303
4 20157 69305 59781 42047
4 21228 26676 80313 60270
4 61470 59153 34964 40171
4 1285 33261 14311 55905
4 56810 27346 34140 36975
4 588 64680 31300 27203
4 33055 75882 37352 20257
4 34699 83429 73916 59230
4 73515 9814 72631 58579
4 99848 13029 34131 89731
4 76746 56158 19925 4016
4 3191 57474 42896 41229
4 27912 68660 9997 65155
4 85670 25143 19409 77459
4 64189 80558 22449 82511
4 8532 1523 50202 9096
4 76372 82406 35143 85893
4 45550 71427 42889 91193
4 54351 3780 33101 16842
4 86501 26336 32013 393
4 17039 78726 74122 5636
3 73759 95946 88950
4 41743 14193 20785 65067
4 71547 37772 60350 51314
4 50816 72116 68947 68872
4 21241 81207 22832 41842
4 17270 73241 15719 35824
4 73762 40032 6775 64584
4 492 76360 62200 29107
4 93349 46687 73990 59618
4 43749 75918 86373 83087
4 36912 12178 27269 83650
4 79278 59550 22941 52412
4 14361 55267 76400 86819
4 45635 8286 14678 47190
4 33301 53662 3426 5838
4 468 93088 78031 61808
4 62120 67099 55490 75286
4 49040 36935 74915 15016
4 9435 78930 82157 60480
4 24266 60173 63130 87110
4 68607 11391 94609 52325
4 34745 65452 98096 69219
4 97109 39690 78462 55979
4 77774 5353 28936 11059
4 54712 41846 79474 93826
4 76886 45463 23546 77626
4 15557 44271 67331 58890
4 72797 12382 6660 43414
4 39374 50841 60703 70276
4 98134 22516 26337 31042
4 68980 85345 10343 45354
4 48439 54124 4324 2667
4 59748 79743 60983 98323
4 6816 29324 96354 44232
4 26790 64092 98608 45660
4 47367 15343 65154 32514
4 53049 36026 85749 7974
4 49254 6880 93597 77956
4 75773 77752 2637 67428
4 83177 28696 87929 52322
3 90876 32816 75529
4 36008 79462 69789 60216
4 9904 96220 99534 76741
4 14664 19782 10418 25138
4 18387 88523 10565 30126
4 72740 21416 32824 14960
4 42557 55516 58107 80821
4 40797 48304 36064 84617
4 50144 15545 64513 63708
4 85358 15844 56554 6501
4 22104 35125 95328 7438
4 4582 58404 79252 20178
4 25712 30056 15509 4667
4 9106 17257 67420 1586
4 16185 29280 95387 36681
4 62402 61180 82139 14265
4 57123 62923 56059 5618
4 57621 49009 52213 81982
4 98678 79563 37650 18755
4 26028 5171 33518 93658
4 32564 75434 82107 90266
4 1962 38076 35440 80549
4 43596 16653 18121 94826
4 59149 68645 16322 70446
4 72934 1986 27510 24678
4 6701 55915 35386 68229
4 33907 83937 61191 44917
4 86250 89296 43427 6194
4 54163 74472 74419 15286
4 87572 34320 6168 70306
4 93751 79117 11944 77891
4 96297 17701 13962 49998
4 82750 38687 63468 15639
4 2749 11215 67439 29429
4 46349 56750 91280 92208
4 49816 88310 35243 56422
3 95427 37351 60179
4 30747 51078 43542 44306
4 13701 9275 47441 20814
4 11854 48312 23860 85558
4 49958 17937 68297 68900
4 50754 45014 66090 53469
4 1573 23128 7965 98566
4 81410 3121 56003 76561
4 91589 98880 74083 14162
4 1298 32732 74071 61241
4 10663 23028 4917 43755
4 58479 24447 4966 20860
4 94943 24315 70173 81681
4 93631 30498 57029 57929
4 34444 84851 79024 11760
4 64400 70418 51808 87291
4 18542 48650 14137 31260
4 28824 74937 27830 64333
4 76457 86874 55104 58672
4 49126 48500 77020 87207
4 51206 81038 69506 87243
4 33433 69 26296 58631
4 67900 34022 14481 9828
4 18310 37881 15336 91257
4 61626 74767 68876 43759
4 3354 23826 46563 44817
4 10134 7320 66256 98989
4 19144 62976 7447 87644
4 51793 2168 19962 42237
4 17097 94693 32849 62142
4 95852 37609 2914 84798
4 96530 86971 31913 68479
4 9509 98449 88338 89714
4 17684 36029 15135 28816
4 93120 43741 94986 89531
4 27062 45271 83040 30370
4 8728 64884 3409 10185
4 51036 4569 99662 35891
4 43691 39845 47796 86830
4 11698 69609 31113 72400
4 12261 19914 97556 32598
4 18036 53115 44238 16066
4 74724 46013 7412 16925
4 34016 49048 54985 97439
4 2217 40354 93231 57975
4 95836 74755 51044 13937
4 61504 87886 41551 83308
4 94314 82312 46060 46115
4 55766 36488 30226 7100
4 69446 40073 7335 86500
4 90742 65387 89722 68253
4 37053 16842 79968 90560
4 93447 75129 33029 43510
4 16288 54994 17916 15295
4 76836 7049 10207 15982
3 63724 52302 46805
4 80671 78620 42177 12934
4 38077 75662 85519 90102
4 24664 3007 3351 15673
4 45893 74465 44326 69662
4 73999 19224 55188 49528
4 33502 77067 14352 76637
4 15701 62627 75587 28811
4 96152 16088 43514 42110
4 80645 14122 64312 76749
4 57346 90336 57322 13518
3 5550 17050 32453
3 98370 87362 9463
4 20888 22672 36509 81445
4 97820 3350 90800 39164
4 96708 15262 14202 52329
4 73828 38226 81471 27506
4 83312 98921 14147 65348
4 50644 25008 38253 23931
4 91457 4555 70997 60818
4 61032 77063 43898 44091
4 84826 80744 89890 14824
4 53353 54339 42409 64296
4 15533 57409 2110 66865
4 11083 50388 67663 73403
4 41069 64234 58287 13257
4 18321 31375 97014 14707
4 78514 9315 14578 85401
4 7122 9718 82053 94803
4 8803 76906 42584 89366
4 7138 88555 14826 35354
4 73225 47293 78647 58065
4 29533 78380 24012 61678
4 69903 29671 6515 8983
4 24224 96734 60633 10332
4 79676 43338 46350 56890
4 87374 73707 87300 97230
4 87365 28471 98143 25690
4 13125 92540 62791 1179
4 17857 97049 96149 52640
4 40875 54130 54300 82069
4 52134 63535 12007 61768
4 19201 64562 13067 60096
4 80292 71203 84993 59689
3 11996 61758 36283
4 97737 81564 84107 15311
4 12871 26559 40685 49536
4 63793 32052 34605 72893
4 74670 13827 54582 1835
4 2244 86099 55349 82121
4 7283 22591 28894 9450
4 10449 9025 83593 12576
3 82782 40340 71174
4 15080 380 45219 78779
4 59576 51276 44979 72636
4 74583 10266 71314 64132
4 79167 28728 6650 60042
4 47465 25271 38839 50483
4 20029 24998 55177 40647
4 47421 54784 95450 81496
4 91899 31179 84840 56539
4 46989 15790 39144 65809
4 90140 28022 14197 16817
4 4349 98165 77136 70000
4 34889 48310 66769 83302
4 75753 55150 68508 65679
4 74604 37458 6821 3819
4 22124 84163 39457 48217
4 61856 7022 22054 76436
4 48612 55450 1692 64581
4 12503 28616 48038 19447
3 55415 53610 85096
4 32006 33854 96729 46493
4 2378 3111 29047 44656
4 73624 11646 51055 59117
4 5519 9407 89558 87401
3 19658 57577 84228
4 77025 10071 70462 10673
4 4811 87413 44153 22486
4 63102 75267 20839 74689
4 87332 22949 88263 95875
4 3896 72017 8469 73782
4 16964 84725 42673 29659
4 9883 24449 70475 44492
4 21004 72214 32366 10609
4 99066 22590 73079 51171
4 20610 18911 85334 47087
4 87831 26649 20807 64455
4 64889 92799 76588 8335
4 63566 66126 89237 3304
4 80039 39775 70459 74781
4 32944 72591 80291 46760
4 97830 42828 25648 6718
4 98792 23330 95077 40530
4 28952 7999 48864 47760
4 89059 43463 35613 77576
4 86452 27703 41457 20906
4 11209 55738 74401 1581
4 49914 99670 53892 46518
4 18573 56244 58115 65977
4 71140 5900 33715 68969
4 52725 57763 66847 32096
4 11439 56222 75405 41237
4 28173 84100 72857 58842
4 24394 72502 55678 91005
4 12338 2713 25864 97635
4 69594 91904 99302 680
4 58775 96231 66108 4144
4 9140 55437 72876 66983
4 75127 61552 81750 22094
4 61290 77499 16996 60657
4 89955 46763 14348 71468
4 61116 43701 99430 48595
4 70061 43959 72092 84272
4 15180 84710 23233 98867
4 11818 12115 27521 71108
4 30211 91797 38188 72283
4 47230 61 59975 46291
4 78378 92791 24659 87485
4 38190 91406 82535 69325
4 22953 34451 63469 86987
4 70479 9073 67701 53797
4 31988 65513 7476 92379
4 76748 52593 30529 32524
4 15068 83501 36622 32325
3 53254 70785 6704
4 84056 10352 3208 28449
4 61960 65389 75851 53628
3 95152 74466 65632
4 47111 66851 83734 74730
4 64253 55429 47785 46918
4 75405 9673 20401 84686
4 24067 89125 86706 25998
4 99607 47398 12888 38236
4 30111 56334 2177 75638
4 73719 65337 3049 19749
4 34501 2617 39331 91451
4 18685 89269 60151 39740
4 36571 65577 94704 2328
3 20693 70866 6997
4 57407 66634 44688 69518
4 94917 39945 75656 43287
4 87341 33105 96155 50503
